date,store_id,category,weather,promotion,special_event,dominant_age_group,num_customers,total_sales,online_sales,in_store_sales,avg_transaction,return_rate
2023-01-01,store_1,Electronics,Sunny,,False,25-34,137.0,1409.76,430.08,979.68,10.29,0.0453
2023-01-01,store_1,Clothing,Rainy,Discount,False,55+,116.0,1612.79,1238.71,374.07,13.9,0.0407
2023-01-01,store_1,Groceries,Sunny,Seasonal,False,18-24,120.0,1307.37,168.46,1138.92,10.89,0.0793
2023-01-01,store_1,Home Goods,Sunny,Discount,False,55+,132.0,1756.65,220.98,1535.66,13.31,0.0442
2023-01-01,store_1,Beauty,Sunny,Seasonal,False,55+,120.0,1764.91,686.24,1078.67,14.71,0.0234
2023-01-01,store_2,Electronics,Snowy,Discount,False,35-44,78.0,1427.85,274.42,1153.43,18.31,0.044
2023-01-01,store_2,Clothing,Sunny,Discount,False,35-44,111.0,1635.89,669.54,966.35,14.74,0.0365
2023-01-01,store_2,Groceries,Cloudy,Discount,False,35-44,126.0,1721.62,545.38,1176.24,13.66,0.0438
2023-01-01,store_2,Home Goods,Sunny,,False,35-44,137.0,945.43,397.2,548.23,6.9,0.0486
2023-01-01,store_2,Beauty,Cloudy,Seasonal,False,18-24,126.0,1478.07,660.11,,11.73,0.0664
2023-01-01,store_3,Electronics,Snowy,Seasonal,False,45-54,90.0,1142.36,268.8,873.56,12.69,0.0338
2023-01-01,store_3,Clothing,Sunny,Seasonal,False,55+,141.0,1997.65,593.01,1404.64,14.17,0.0694
2023-01-01,store_3,Groceries,Cloudy,Seasonal,False,18-24,114.0,1574.57,338.5,1236.07,13.81,0.0431
2023-01-01,store_3,Home Goods,Sunny,Discount,False,18-24,123.0,903.8,146.14,,7.35,0.0495
2023-01-01,store_3,Beauty,Rainy,,False,45-54,92.0,1031.18,665.43,365.75,11.21,0.0729
2023-01-01,store_4,Electronics,Cloudy,Discount,False,25-34,121.0,1851.99,894.31,957.68,15.31,0.0387
2023-01-01,store_4,Clothing,Cloudy,,False,25-34,121.0,812.61,558.51,254.1,6.72,0.0316
2023-01-01,store_4,Groceries,Windy,Discount,False,45-54,131.0,1241.54,331.87,909.66,9.48,0.0254
2023-01-01,store_4,Home Goods,Cloudy,Seasonal,False,35-44,111.0,1603.99,566.69,1037.3,14.45,0.0604
2023-01-01,store_4,Beauty,Sunny,Discount,False,35-44,114.0,,1284.52,833.36,18.58,0.0357
2023-01-01,store_5,Electronics,Snowy,BOGO,False,55+,88.0,1100.13,663.54,436.59,12.5,0.0693
2023-01-01,store_5,Clothing,Cloudy,Discount,False,45-54,108.0,1564.53,508.42,1056.11,14.49,0.0568
2023-01-01,store_5,Groceries,Snowy,Discount,False,25-34,84.0,1313.49,643.35,670.14,15.64,0.0286
2023-01-01,store_5,Home Goods,Windy,Seasonal,False,55+,104.0,1564.68,1000.06,564.63,15.05,0.0671
